Country,Address,Postal Code,Lat,Long,
Malaysia,"YCH Logistics ( M ) Sdn Bhd
No.3-C, Jalan Perindustrian Puchong,
Bandar Perindustrian  Puchong,
Seksyen 3, 
47100 Selangor.",47100,2.985182,101.627154,
Malaysia,"Maple Shah Alam Logistics Park (MSALP)
No.14, Persiaran Perusahaan, Block A,
Unit 1,2,3 & 4, Section 23,
40300 Shah Alam, Selangor.",40300,3.052405,101.539015,
Malaysia,"Y1 Main office
Plot 201, Lorong Perusahaan Maju 9, 
Taman Perindustrian Bukit Tengah, 
13600 Prai, 
Pulau Pinang, 
Malaysia",13600,5.364809,100.396843,
Malaysia,"Y5 (New)
Plot 75, Jalan Perindustrian Bukit Minyak,
Taman Perindustrian Bukit Minyak,
14000 Bukit Mertajam,
Pulau Pinang,
Malaysia",14000,5.334135,100.470143,
Malaysia,"Y8 Kerry
Plot 307 & 308A, Jalan Perindustrian Bukit Minyak 18,
Penang Science Park,
Kawasan Perindustrian Bukit Minyak.
Mukim13, Seberang Perai Tengah,
Pulau Pinang,
Malaysia",14100,5.274097,100.450896,
Singapore,"YCH DistriPark
8 Bulim Avenue
Fusionaris@Supply Chain City
Singapore 648166",648166,1.35295,103.709366,
Singapore,"YCH Group
4 Fourth Lok Yang Road, YCH ChemPark
Singapore 629701",629701,1.324963,103.688836,
Singapore,"YCH Group
28 Tuas Avenue 13 YCH DistriCentre
Singapore 638994",638994,1.323469,103.640612,
Singapore,"Warehouse Logistics Net Asia Pte Ltd ,
1 Buroh Lane, WLNA Building,
Singapore 618292",618292,1.315223,103.72516,
Singapore,"YCH Group
10 Senoko Way Singapore 758031",758031,1.465707,103.811137,
Singapore,"10 Jalan Tepong 
Singapore 619328",619328,1.310091,103.720144,
Korea,"YCH Korea Inc
A-1105, Hanwha BIZ Metro BLDG, 551-17
Yangcheon-Ro, Gangseo-Gu, Seoul, Korea -07532",7532,37.563896,126.844629,
Philippines,"Igloo Supply Chain Philippines Inc. 每 affiliate of YCH Group, Manggahan Light Industrial Park, Amang Rodriguez Avenue, Pasig City 1611,  Philippines",1611,14.607196,121.089982,
Cambodia,"Plove Tomnup Kobsrov, Phum Trapeang Tea, Sangkat Trapeang Krasang, Khan Por Senchey, Phnom Penh, Cambodia",,11.551543,104.81276,
Vietnam,"SUNTORY PEPSICO,  A77 Warehouse , Bach Dang Street, Ward 2, Tan Binh District, Ho Chi Minh City",736480,10.817013,106.670954,
Vietnam,"Le Van Khuong, Thoi An Ward, District 12, Ho Chi Minh City",729444,10.86569,106.652145,
Vietnam,"No. 14, street 1, Ho Hoc Lam, Ward 16, District 8, Ho Chi Minh City",752342,10.708225,106.609518,
Vietnam,"Dong An Quarter, Binh Hoa Ward, Thuan An Town, Binh Duong Province",824051,10.90193,106.71858,
Vietnam,"88 Huu Nghi Street, VSIP Phu Chan Commune, Tu Son town, Bac Ninh Province.",222303,21.074523,105.98738,
Vietnam,"No.9, Block 3, Street 6 ,VSIP Phu Chan Commune, Tu Son town, Bac Ninh province.",222303,21.083643,105.974554,
Indonesia,"2nd Floor, PT. YCH Indonesia Jalan Raya Kalimalang KM 2 Cibitung Bekasi 17520",17520,-6.274306,107.056198,
Indonesia,"KITIC Kavling 3C, Delta Mas 每 Jawa Barat.",17530,-6.307923,107.172085,
Indonesia,"JL M.G Manurung KM 92 Timbang Deli, Kecamatan Medan Amplas, MEDAN 20148",20148,3.532598,98.706827,
Indonesia,JL Siak II Komplek Warehouse PLC Block B1-B4 Palas Kecamatan Rumbai - Pekanbaru 28264,28264,0.636102,101.37715,
Indonesia,"Kompleks Pergudangan Griya Bandara Indah BLOCK C1-5, Palembang 30151",30151,-2.962094,104.734594,
Indonesia,"JL Gatot Subroto BLOK 11A Kawasan Industri Candi, Ngaliyan, Semarang 50184",50184,-6.99071,110.363649,
Indonesia,"JL Raya Margomulyo NO. 65, Surabaya 60186",60186,-7.256469,112.677968,
Indonesia,"Jl. P. Suryanata RT.14 Kel. Bukit Pinang Kec. Samarinda Ulu, Samarinda, 75124",75124,-0.341807,117.185294,
Indonesia,"Kompleks Pergudangan Surabakawa BLOK A1-3 JL. A. YANI KM 24, Liang Anggang Banjarmasin",70722,-3.459884,114.708343,
Indonesia,"Kawasan Pergudangan Pelita Akro, Jln. Ir. Sutami Gudang H-24 90244",90244,-5.477905,119.719438,
Indonesia,Jalan Cargo Permai No. 90 Denpasar Bali 80116,80116,-8.619222,115.185952,
Indonesia,Jl. Kembang Joyo No. 53 Pati 59117 Jawa Tengah - Indonesia,59117,-6.763538,111.053492,
Indonesia,"Jl. Diponegoro KM. 40, Tambun, Bekasi 17510, Indonesia",17510,-6.219574,107.065755,
